input,category
"Why did my package disappear after tracking showed it was delivered?",shipping
"Your product smells like burnt rubber - what's wrong with it?",product_defect
"I ordered 3 items but only got 1, where's the rest?",shipping
"Why does your app crash every time I try to check out?",technical
"My refund was supposed to be here 2 weeks ago - what's the holdup?",refund
"Your instructions say 'easy setup' but it took me 3 hours!",product_feedback
"Why does your delivery guy keep leaving packages at the wrong house?",shipping
"The discount code you sent me doesn't work - fix it!",billing
"Your support line hung up on me twice - what's going on?",support_complaint
"Why is your website saying my account doesn't exist when I just made it?",technical
"blooby blooby doo-badoo-boo-boo flibber flabber wibble wobble",gibberish
"Bro your product is the absolute worst freaking thing I've ever used. You should go bankrupt.",angry
"I ordered a pair of shoes for $100 but I want to return one shoe and keep the other, so give me a $50 refund.",unreasonable_request
"I broke the camera I bought from you, but can I get a 50% refund if I ship it back?",unreasonable_request
"Your product is the wrong color. You said pink but it's more like white mixed with red. Also the button is bigger than expected.",confused
"big.",vague
